"","left","prediction"
"10",1,0.483048336171743
"12",1,0.761974678624204
"17",1,0.460557719227162
"18",1,0.369571350661132
"30",1,0.507323971737875
"36",1,0.746499287343327
"38",1,0.428147689987515
"40",1,0.506827150182155
"44",1,0.682514068764012
"46",1,0.178895063246532
"52",1,0.458305090633027
"53",1,0.519489434412908
"58",1,0.772661294033862
"63",1,0.687627636532098
"64",1,0.412282792865281
"65",1,0.660431344249819
"68",1,0.180206751296667
"70",1,0.336329432534009
"71",1,0.282018877755434
"80",1,0.520183280101565
"85",1,0.744221128017244
"87",1,0.659534946109772
"95",1,0.737802357106941
"97",1,0.729299066401023
"99",1,0.767529292038618
"108",1,0.340284330945154
"113",1,0.491181490356812
"118",1,0.719303329801712
"121",1,0.324720253274593
"122",1,0.482026645622338
"123",1,0.359129897275531
"124",1,0.458948960605932
"127",1,0.505345392267912
"129",1,0.731816549081963
"131",1,0.761641495495074
"132",1,0.530261043196384
"136",1,0.380799081133009
"138",1,0.325775720824065
"140",1,0.268922011477485
"143",1,0.717511134017124
"145",1,0.269945514382713
"147",1,0.300474685596139
"151",1,0.753906161315045
"152",1,0.471475741790039
"155",1,0.524865404747973
"160",1,0.425159868842112
"175",1,0.409660210919169
"176",1,0.229446257810219
"179",1,0.387332580942392
"181",1,0.370887421534905
"185",1,0.420333076995814
"192",1,0.0306657101298902
"193",1,0.211450123456339
"194",1,0.618863720112772
"200",1,0.271562723327614
"201",1,0.149552941945738
"205",1,0.213008992179663
"207",1,0.230790336394456
"213",1,0.155143722817191
"216",1,0.55610034120032
"219",1,0.460179351253637
"220",1,0.140399658958479
"229",1,0.177701418908396
"231",1,0.490552281306489
"232",1,0.19167140232849
"233",1,0.711189560193104
"242",1,0.537109607931738
"246",1,0.452935643553081
"252",1,0.277262056378304
"258",1,0.375043980748316
"260",1,0.643507773554352
"262",1,0.143965451264717
"263",1,0.333573931990836
"264",1,0.603481051304821
"266",1,0.163839576617829
"271",1,0.320846308301522
"272",1,0.605022930796262
"274",1,0.789923839966914
"276",1,0.251514923737191
"279",1,0.729174577935148
"280",1,0.0443642138363136
"283",1,0.256301904681832
"285",1,0.515065153812977
"286",1,0.516623844111277
"289",1,0.18892032463673
"292",1,0.151213422034684
"293",1,0.490093413348234
"295",1,0.633769236950931
"300",1,0.165685160844588
"301",1,0.342902007146815
"304",1,0.271400062274342
"310",1,0.668692493805661
"323",1,0.401337943421489
"325",1,0.506694676373645
"329",1,0.742490731497364
"330",1,0.459268282177389
"338",1,0.333900298637569
"340",1,0.622615736769907
"342",1,0.394997781282844
"343",1,0.096796410822366
"344",1,0.374613709459414
"346",1,0.304434664463603
"350",1,0.372233875327893
"360",1,0.766582741655577
"364",1,0.301191391391547
"368",1,0.497247283285448
"369",1,0.19054822459072
"372",1,0.533484162161307
"374",1,0.425309525046273
"375",1,0.109762459555904
"380",1,0.193130031703249
"382",1,0.387544412406395
"401",1,0.196566724776975
"403",1,0.298023960294662
"405",1,0.235108071063279
"411",1,0.443799193630862
"417",1,0.209859769263925
"421",1,0.664229229850375
"423",1,0.124244204988527
"424",1,0.1209668904737
"427",1,0.235766337186448
"430",1,0.154800413676794
"431",1,0.135042356550051
"432",1,0.521871586479759
"434",1,0.271636987249583
"451",1,0.162079992467761
"454",1,0.286313809946257
"456",1,0.215056877917783
"459",1,0.352578695044135
"460",1,0.363190790351437
"461",1,0.334564871625156
"471",1,0.737224196473251
"473",1,0.162353587320038
"477",1,0.798734674219688
"489",1,0.682718500607487
"497",1,0.603555975675615
"514",1,0.763530417721394
"517",1,0.731837414244501
"523",1,0.715157974610454
"524",1,0.360059076418939
"527",1,0.157716906031922
"540",1,0.399050924026485
"543",1,0.148645610195617
"545",1,0.334564871625156
"560",1,0.688290274230144
"563",1,0.532245974060705
"564",1,0.687231784971156
"565",1,0.510547909115668
"570",1,0.504770384093212
"598",1,0.739472715803625
"599",1,0.538243293423495
"604",1,0.19041911590996
"606",1,0.110558293194807
"614",1,0.137961030398363
"615",1,0.608250999614311
"616",1,0.423017329233969
"620",1,0.467584169276886
"621",1,0.118836292764932
"624",1,0.420103183502471
"625",1,0.516439846642711
"631",1,0.704185410949197
"638",1,0.476376099833323
"643",1,0.264778768737146
"645",1,0.295341816110737
"651",1,0.364160940631821
"657",1,0.133236084826134
"658",1,0.109465103138267
"663",1,0.203661261793938
"664",1,0.774115885863111
"673",1,0.463085686725311
"682",1,0.479985178651211
"683",1,0.682537105764979
"686",1,0.176065439188671
"688",1,0.565680902722045
"689",1,0.62743140980046
"690",1,0.141330725645451
"691",1,0.413223045141923
"693",1,0.126723167190015
"694",1,0.641822077618954
"698",1,0.76136565742065
"708",1,0.239702156767842
"709",1,0.727702656054352
"723",1,0.437012448992661
"729",1,0.360407857209431
"733",1,0.0732562589378145
"738",1,0.364914838904014
"740",1,0.555118328995242
"744",1,0.771453039524409
"749",1,0.480822629931522
"752",1,0.176749678021056
"759",1,0.49913405661282
"760",1,0.507665713619191
"761",1,0.707971280720203
"763",1,0.345598766993562
"765",1,0.158622123013776
"770",1,0.344710461150796
"771",1,0.664545126658152
"773",1,0.366433841782614
"778",1,0.6668087310533
"779",1,0.572250543983271
"782",1,0.18700115318676
"784",1,0.520208360940363
"788",1,0.516361651085693
"791",1,0.353409660389499
"799",1,0.360422907188435
"801",1,0.248019623954751
"804",1,0.664124292867967
"807",1,0.327923381980444
"810",1,0.616798759307019
"811",1,0.117038468402074
"825",1,0.536379690473809
"843",1,0.620025655991171
"844",1,0.0179221569067849
"859",1,0.346463068633837
"870",1,0.194821645494523
"876",1,0.80291060002938
"877",1,0.155268000718621
"880",1,0.143965451264717
"883",1,0.641750092563561
"884",1,0.388415402827024
"890",1,0.62800783295197
"893",1,0.368735886608976
"909",1,0.157244781036808
"917",1,0.394602090835938
"921",1,0.412041807963986
"922",1,0.364246246552875
"929",1,0.203363629280579
"939",1,0.730941436498767
"946",1,0.197442125628474
"948",1,0.512210705851839
"950",1,0.765512247589257
"953",1,0.796305710403002
"954",1,0.674416100004267
"955",1,0.47747351832425
"956",1,0.440077196605546
"964",1,0.401492495451982
"969",1,0.34768864500254
"976",1,0.540522142221494
"978",1,0.821177444998226
"985",1,0.253965328888275
"986",1,0.280878336259872
